comments,likes,Target
काम बात सिर्फनाम बदलने आया,3,Yogi
rojgar baat kro mahgai baat kro godi midiya,7,Yogi
yogi   desh pradhan mantri banege,1,Yogi
yogi aapke charanon pranam shivikar,1,Yogi
jooth aayenge akhilesh jii,1,Yogi
anjana yogi sarkar banegi rok yogi cm yogi,2,Yogi
yogiji beda gark haiaur modiji pure desh ka,1,Yogi
bjp hato desh bachao,2,Yogi
bjp mahol yha wah yogi wah mozz kardi,0,Yogi
bar yogi sarkar,0,Yogi
gaon light samajwadi sarkar samay lakh rupaye ghus manga yogi sarkar free mukt gaon light lagai,0,Yogi
kami sarkar bolega petrol  diesel samanon mahangai badh aasman chhu bjp sarkar jativad hindu muslim satta hasil chahta,2,Yogi
jay yogi,0,Yogi
modi,0,Yogi
yougi उपयोगी जय श्री राम,0,Yogi
rojgar dofaltu baton pet bharta,3,Yogi
anjana face lag hai fek yogiji,0,Yogi
feku baba,1,Yogi
yogi abaki bar yogi sarkar,0,Yogi
modi aour yogi zindabad desh bhut zaruri,7,Yogi
प्रवचन सीएम रोजगार शिक्षा महंगाई छुट्टा पशु खाद क़िल्लत   हजार शिक्षक भर्ती रिजर्वेशन अनियमितता बात,0,Yogi
स्वास्थ्य शिक्षा बात हमेशा पाखंड बात अच्छी लगती सर,10,Yogi
vote yogi maharaj ,2,Yogi
पांच राज्यों चुनाव उत्तर प्रदेश समाजवादी गठबंधन नीतियां अलग पूरे भारत देश किसान देख खेत खेत पानी बिजली मुक्त मिलने धन्यवाद,2,Yogi
जय योगी आदित्यनाथ महाराज,1,Yogi
yogi maharaj great storng leader cm jai hind bharat mata jai  जय श्री रामजय श्री रामजय श्री राम,1,Yogi
yogi bat vikash   index bhukhmari pahuchh chuka desh bjp bajah,5,Yogi
jai shree ram,0,Yogi
yogi acche mukhymantri,1,Yogi
religion pr bat development pr,9,Yogi
line badi bjp koon certificate dene tarike bhagwan poojte,1,Yogi
bat,3,Yogi
yogi bat vikash   index bhukhmari pahuchh chuka desh bjp bajah,2,Yogi
cm pm desh desh baat,7,Yogi
बाबा शिक्षा अच्छी सुविधा रोजगार ध्यान दीजिए पूजा पाठ बात हमेशा जहां देखो लोग अगर शिक्षित होंगे मकान बना लेंगे पेट भर लेंगे।बस शिक्षा सही करिये ।,0,Yogi
rojgar pr phir vi confidence jhuth,11,Yogi
baba bolat h,0,Yogi
mask nhe laga,2,Yogi
bat,3,Yogi
government job,2,Yogi
radhe krshna kha yadav arhe satrngi narangi,1,Yogi
akhilesh,0,Yogi
interview kirtan mandali hai,1,Yogi
pucho gandhi manta godse manne,0,Yogi
rojgar ghamand,1,Yogi
अखिलेश दुन्दुभि बज आपकी पार्टी खो गयी,5,Yogi
pandit cm,1,Yogi
sirf raam raam naam vikas berojgari,0,Yogi
akhilesh bhaiya jindabad,0,Yogi
महंगाई बोलो बाबा।बार बार राम राम क्यों हो।लगता है।अंत समय है।रोजगार सबका चला गया। जीएसटी चाप लगा दिया।तुम लोग संत भेष शैतान हो।,1,Yogi
bhagawa beta bhagoge,0,Yogi
jayanti chaudhary jindavad,1,Yogi
yogi ayenge,0,Yogi
muslim community aap,0,Yogi
yogi,0,Yogi
bhagwa bhagoge,0,Yogi
ham lathi hahi bholege students,0,Yogi
paanch saal paaye   vacancy nikali kya aapki sarkar  saal upsssc band rakhhi gaikun jimmedar paper leak peeche,7,Yogi
फैक्ट्री कंपनी लगाया योगी ने।,0,Yogi
pakistan entry jald election,0,Yogi
ander dukhi,0,Yogi
kaam bas bijli rate,0,Yogi
राम लला गये मन्दिर जमीन बेचकर खा गये,6,Yogi
patrakar mhoday lakhimpur kand puchhna bhul gye,0,Yogi
jai shree krishna jai shree akhilesh,2,Yogi
utter pradesh padha likha navjawan degriya bagal markar road phiraha berozgari mai baba mandir mandir ghumarahe hai,1,Yogi
pandu kapri jay saeri ram ham pooja tabhi barish,0,Yogi
korona logo ventilation,0,Yogi
babaji mkiye,0,Yogi
godse apke,1,Yogi
jai akhikesh full leher sp,3,Yogi
lekhpal vacancy bat kro,0,Yogi
cm yogi,1,Yogi
jai akilesh yadav,4,Yogi
avi vi sant mahatma mante ।।।plz sir cm behave cm,1,Yogi
yogi baba cm baba baate kro plz,1,Yogi
akhilesh yadav jindavad,4,Yogi
योगीतू गयो।,4,Yogi
jai shari ram,3,Yogi
हमे देश सार्वजनिक संपत्ति निजी हाथों बेचने वाली  टैक्स कानून बनाने वाली लोगों गुमराह उल्लू साधने वाली स्थानों नया नामकरण वाली महंगाई बढ़ाने वाली अच्छे कामों क्रेडिट लेने वाली नुकसान दलों माथे मढ़ने वाली सरकार चाहिए।,3,Yogi
काम नही। चुनाव आया हिंदू हिंदू चिल्लाने लगे।,6,Yogi
hell govt jobabe chutiyo developed countries govt jobs bhot limited haiyha sbki yhi ekbaar govt job miljae frr mauj krenge mze lengekuch kaam krlokoi skill seekhlo startup krlolekin nhiiihme govt job krni haiaur zindagi khali bethna frr,0,Yogi
yogi jee gina satta upyog personal ajenda panditana bolne desh chalta,2,Yogi
akhilesh yadav,6,Yogi
akhilesh bhaiya jindabad,3,Yogi
jai akhilesh yadav aa haiyogi batware rajniti,2,Yogi
samajwadi party jindabad jindabad jindabad jindabad ,3,Yogi
किसनो कर्मभूमि लोगो रवैया,2,Yogi
gullu khusi,3,Yogi
जोगी बाबा जान गए   हार जाऊंगाउदाहरण अखिलेश यादव विजय रथ जनसैलाब,9,Yogi
मुद्दे बात भटकार बात इनसे सीखे शिक्षा रोजगार गरीबों बात जय अखिलेश जय समाजवादी ,5,Yogi
baba ghanta leejiye bajane liyekuchh milega baba,2,Yogi
असली चाटूकारीता।,2,Yogi
samajwadi party jindabad akhilesh yadav jindabad   akhilesh yadav purv sarkar ban jay,3,Yogi
band bhasad episode mandir mandir mandir,3,Yogi
yogi  jcb maharaj,0,Yogi
jai shri ram,1,Yogi
yogitutogayooghar,1,Yogi
abki bar yogi   fier yogi sarkar,5,Yogi
बाबा दुबारा फिरू आईबा,1,Yogi
yogi yogi jai ho,2,Yogi
education pr baat kro uneducated yogi ,2,Yogi
अबकी बार योगी सरकार,4,Yogi
vikas pr bat kro,1,Yogi
sp jindabad,2,Yogi
godi patrakar,1,Yogi
jai samajwad ,2,Yogi
chilamjivi baba,2,Yogi
yogi adityanath cm forever,1,Yogi
abki sapa sarkar tay,2,Yogi
karsewako goli bhule haiyogi modi jindabaad,1,Yogi
